,filename,label
0,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image0.jpg,Aon
1,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image1.jpg,Aon
2,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image2.jpg,Aon
3,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image3.jpg,Aon
4,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image4.jpg,Aon
5,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image5.jpg,Aon
6,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image6.jpg,Aon
7,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image7.jpg,Aon
8,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image8.jpg,Aon
9,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image9.jpg,Aon
10,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image10.jpg,Aon
11,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image11.jpg,Aon
12,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image12.jpg,Aon
13,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image13.jpg,Aon
14,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image14.jpg,Aon
15,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image15.jpg,Aon
16,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image16.jpg,Aon
17,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image17.jpg,Aon
18,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image18.jpg,Aon
19,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image19.jpg,Aon
20,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image20.jpg,Aon
21,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image21.jpg,Aon
22,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image22.jpg,Aon
23,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image23.jpg,Aon
24,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image24.jpg,Aon
25,C:/Users/thara/Desktop/FaceReconition/datasets/processed/image25.jpg,Aon
